"1","IIT MADRAS","Chennai","Tamil Nadu"
"2","IIIT-D","Chennai","Tamil Nadu"
"3","IIT BOMBAY","Mumbai","Maharashtra"
"4","IIT Guwahati","Guwahati","Assam"
"5","SRM University","Coimbatore","Tamil Nadu"
"6","College of Engineering Guindy","Chennai","Tamil Nadu"
"7","Shaastra","Coimbatore","Tamil Nadu"
"8","University of Delhi","Delhi","NCT/Delhi"
"9","IOU","Delhi","NCT/Delhi"
"10","Easwari Engineering College","Chennai","Tamil Nadu"
"11","Amrita School Of Engineering","Coimbatore","Tamil Nadu"
"12","M.N.M Jain Engineering College","Chennai","Tamil Nadu"
"13","Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College","Chennai","Tamil Nadu"
"14","Sathyabama University","Chennai","Tamil Nadu"
"15","methodist college of engineering and technology","hyderabad","Andhra Pradesh"
"16","National Engineering College","Kovilpatti","Tamil Nadu"
"17","SONA COLLEGE OF TECHNOLOGY","SALEM","Tamil Nadu"
"18","GMRIT","Rajam","Andhra Pradesh"
"19","Dr.Mahalingam college of engineering and technology","Coimbatore","Tamil Nadu"
"20","psg tech","coimbatore","Tamil Nadu"
"21","BANNARI AMMAN INSTITUTE OF TECHNOLOGY","SATHYAMANGALAM","Tamil Nadu"
"22","CUCEK,kuttanadu","alappuzha","Kerala"
"23","Panimalar engineering college","chennai","Tamil Nadu"
"24","IIMET","JAIPUR","Rajasthan"
"25","knowledge institute of technology","salem","Tamil Nadu"
"26","kongu engineering college","erode","Tamil Nadu"
"27","Thanthai Periyar Government Institute of Technology","Vellore","Tamil Nadu"
"28","gult college","entra","Andhra Pradesh"
"29","R.M.K.Engineering College","Tiruvallur","Tamil Nadu"
"30","mookambigai college of engineering","pudukottai","Tamil Nadu"
"31","saveetha school of engineering","chennai","Tamil Nadu"
"32","RMK Engineering College ","Tiruvallur","Tamil Nadu"
"33","Ponjesly College Of Engineering","Nagercoil","Tamil Nadu"
"34","Sri Krishna College of Engineering and Technology","Coimbatore","Tamil Nadu"
"35","bits pilani","hyderabad","Andhra Pradesh"
"36","sree nidhi institute of science and technology","hyderabad","Andhra Pradesh"
"480","fornication under consent of king","brothel","Outside India"
"38"," Loyola-ICAM College of Engineering & Technology","chennai","Tamil Nadu"
"39","Prince Shri Venkateswara Padmavathy Engineering College","Chennai","Tamil Nadu"
"40","Kumaraguru College of Technology","Coimbatore","Tamil Nadu"
"41","Velammal Engineering College","Chennai","Tamil Nadu"
"42","velammal college of engineering and technology","Madurai","Tamil Nadu"
"43","S.A Engineering College","Chennai","Tamil Nadu"
"44","Tagore Engineering College","Vandalur","Tamil Nadu"
"45","Aalim Muhammed Salegh College of Engineering","chennai,avadi(muthapudupet)","Tamil Nadu"
"46","Sri Manakula Vinayagar Engineering College","Madagadipet","Puducherry"
"47","nit kurukshetra","kurukshetra","Haryana"
"48","Karunya Univesity","Coimbatore","Tamil Nadu"
"49","Krishna Institute of Engineering and Technology","Ghaziabad","Uttar Pradesh"
"50","Jansons Institute of Technology","Coimbatore","Tamil Nadu"
"51","r v college ","bangalore ","Karnataka"
"52","University Institute of Technology RGPV","Bhopal","Madhya Pradesh"
"53","Indian School of Mines","Dhanbad","Jharkhand"
"54","Pondicherry University","Pondicherry University","Puducherry"
"55","kakinada institute of engineering & technology","kakinada","Andhra Pradesh"
"56","NIT Calicut","Calicut","Kerala"
"57","Maharaj Vijayaram Gajapathiraj (MVGR) College of Engineerng","Vizianagaram","Andhra Pradesh"
"58","D.A.V.Public School","Chennai","Tamil Nadu"
"59","ADHIYAMAAN COLLEGE OF ENGG ","HOSUR","Tamil Nadu"
"60","K.L.E Society's Dr. M.S Sheshgiri College of Engineering & Technology","Belgaum","Karnataka"
"61","vasireddy venkatadri institute of technology","Guntur","Andhra Pradesh"
"62","KLUniversity","vaddeswaram","Andhra Pradesh"
"63","SASTRA UNIVERSITY","THANJAVUR","Tamil Nadu"
"64","Mahaveer Institute of Science and Technology","Hyderabad","Andhra Pradesh"
"65","BAPATLA ENGINEERING COLLEGE","BAPATLA","Andhra Pradesh"
"478","coitus education","brothel","Outside India"
"67","coimbatore institute of technology","coimbatore","Tamil Nadu"
"68","C V Raman College Of Engineering,Bhubaneswar","Bhubaneswar","Orissa"
"69","SCAD COLLEGE OF ENGINEERING AND TECHNOLOGY","TIRUNELVELI","Tamil Nadu"
"70","aditya degree college","kakinada","Andhra Pradesh"
"71","Anil neerukonda institute of science and technology","vizag","Andhra Pradesh"
"72","rajalakshmi engineering college","chennai","Tamil Nadu"
"73","v s b engineering college","karur","Tamil Nadu"
"74","Anna University - MIT Campus","Chennai","Tamil Nadu"
"75","Government College of Engineering .","Tirunelveli","Tamil Nadu"
"76","Bharath University","chennai","Tamil Nadu"
"77","NIT-Trichy","Trichy","Tamil Nadu"
"78","National College Of Engineering","Maruthakulam,Tirunelveli.","Tamil Nadu"
"79","Sri Venkatesa Perumal College of Engineering & Technology","puttur","Andhra Pradesh"
"80","S N S College Of Technology","Coimbatore","Tamil Nadu"
"81","GITAM University","Visakhapatnam","Andhra Pradesh"
"82","park college of technology","coimbatore","Tamil Nadu"
"83","Nehru Institute of Engineering and Tecgnology","Coimbatore","Tamil Nadu"
"84","MUTHAYAMMAL ENGINEERING COLLEGE","Rasipuram,Namakkal-637408","Tamil Nadu"
"85","IIT KHARAGPUR","Kharagpur","West Bengal"
"86","KGRCET","HYDERABAD","Andhra Pradesh"
"87","K G REDDY COLLEGE OF ENGINEERING AND TECHNOLOGY","MOINABAD","Andhra Pradesh"
"88","Adhiparasakthi Engginering College","Melmaruvathur","Tamil Nadu"
"89","ssmiet","dindigul","Tamil Nadu"
"90","Goa College of Engineering","Farmagudi","Goa"
"91","K.S.Rangasamy College of Technology","Thiruchengode","Tamil Nadu"
"92","Gayatri Vidya Parishad College Of Engineering","Visakhapatnam","Andhra Pradesh"
"93","K.C.G College of Technology","chennai","Tamil Nadu"
"94","Alpha College Of Engineering","Chennai","Tamil Nadu"
"95","sri shakthi institute of engineering and technology","coimbatore","Tamil Nadu"
"96","mar  athanasius college of engineering,kothamangalam","kothamangalam","Kerala"
"97","hcst","mathura","Uttar Pradesh"
"98","klescet","belgaum","Karnataka"
